step,timestamp,x,y,velocity,heading_degrees,action,steering_angle_degrees,confidence,recommended_speed,nearest_distance,heading_error_degrees
41,4.1000000000000005,25.481688064622162,10.20639046346825,2.246618047998347,10.867823251610236,右转,-96.33671262350511,0.4,0.625,0.5240423790210884,-96.33671262350511
42,4.2,25.877305941998564,9.623131917821254,1.733145671112343,-4.674248621188461,直行,7.702995030340714,1.0,1.25,0.3963374613053192,7.702995030340714
43,4.3,26.96144914529295,10.170575987408322,2.083007239799006,4.739410905368309,大右转,-6.127675580338248,1.0,1.25,0.17487806002746045,-6.127675580338248
44,4.4,28.006500945938953,10.726767038578659,1.9206029500286133,15.58542128072037,左转,-21.51832393724341,0.8,0.625,0.7267961135438847,-21.51832393724341
45,4.5,29.312833673882505,9.571421221791859,1.6787322505816662,2.7643633124917844,右转,0.9026932130418102,0.8,2.0833333333333335,0.5306078369617326,0.9026932130418102
46,4.6000000000000005,29.888268607337075,10.357000247046045,2.1419712873720633,-0.4172789321765713,大右转,-2.4564870939161674,1.0,2.0833333333333335,0.3740763030416843,-2.4564870939161674
47,4.7,30.576603140965798,9.242576387657067,1.8660455143798937,4.906803649482721,直行,0.9190352692409044,0.8,2.0833333333333335,0.8677300437201917,0.9190352692409044
48,4.800000000000001,32.107046872065105,9.377130610644006,2.0519542777553545,2.2077059631502047,小右转,2.9557012658980666,0.8,2.0833333333333335,0.6320010356127845,2.9557012658980666
49,4.9,32.55807128189943,10.076862552972765,2.0174626155338,-6.548737417450542,直行,5.9569898381741995,1.0,1.25,0.44856308801717526,5.9569898381741995
50,5.0,34.17889368017414,10.280392263184117,2.3249153729525833,6.03784100238255,小左转,-8.795544590597054,1.0,1.25,0.3326000151229089,-8.795544590597054
51,5.1000000000000005,34.31116531602145,9.531087480042439,2.154510580162598,2.9437766560385255,左转,1.7682796676226094,0.8,2.0833333333333335,0.5627635429447078,1.7682796676226094
52,5.2,36.257523843153024,11.926365745327361,2.17126715320795,6.506311854241978,右转,-33.74256299281317,0.5599999999999999,1.25,1.9435028980073437,-33.74256299281317
53,5.300000000000001,37.4770008817466,10.3256956256529,1.9054192266078964,4.3485733114598215,直行,-11.704244128043596,0.8,1.25,0.5775876398923938,-11.704244128043596
54,5.4,37.61358739273121,9.881590696629996,1.854390935651269,0.4691042638102107,大右转,2.371474909501423,1.0,2.0833333333333335,0.40414782713857617,2.371474909501423
55,5.5,40.15732928333676,9.066367403704126,2.205878057112354,-9.240181297293075,右转,108.80540378403003,0.4,0.625,0.9467958218440936,108.80540378403003
56,5.6000000000000005,39.764034067105285,10.544475298483682,2.0192840057286388,3.8249772832386566,小左转,-70.39392462154544,0.4,0.625,0.5934081834165822,-70.39392462154544
57,5.7,54.41446444055314,12.944521539471292,1.780890010484859,106.24021636224032,大左转,7.344139621120021,1.0,1.25,0.49333368444647846,7.344139621120021
