epoch,DPAI*1_train_losses,DPAI*1_val_losses,DPAI*1_val_miou_history,history_train_losses,history_val_losses,history_val_miou_history,R_CBAM_train_losses,R_CBAM_val_losses,R_CBAM_val_miou_history,DPAI*2_train_losses,DPAI*2_val_losses,DPAI*2_val_miou_history
34,0.14988,0.24123,0.71544,0.18632,0.30232,0.66692,0.183706869851918,0.27315982222557067,0.6683924475668657,0.1115,0.1976,0.6513
35,0.14822,0.24544,0.71211,0.18372,0.27322,0.66842,0.1831602654770337,0.28176817345619204,0.6605969947803069,0.1081,0.1902,0.6632
36,0.14233,0.23567,0.72567,0.18321,0.28182,0.66062,0.18120358864306121,0.2721891461610794,0.6822118084543526,0.11,0.19,0.6536
37,0.14455,0.23123,0.72899,0.18123,0.27222,0.68222,0.17908327246425293,0.26434170973300936,0.6882719388478913,0.0994,0.1856,0.6618
38,0.13866,0.23899,0.71845,0.17912,0.26432,0.68832,0.17565177549277583,0.2751285504102707,0.661945081300564,0.105,0.1965,0.6487
39,0.13622,0.22845,0.73211,0.17563,0.27512,0.66192,0.17606471453903502,0.26582285583019255,0.6968767122700072,0.103,0.2022,0.6459
40,0.13211,0.23211,0.75544,0.17612,0.26582,0.69692,0.17486074897310427,0.27037097680568695,0.718471217785644,0.1037,0.1896,0.6599
41,0.13455,0.22567,0.73567,0.17492,0.27042,0.67852,0.17143050568198326,0.2664725069999695,0.7287441217489375,0.0994,0.2136,0.6543
42,0.12866,0.22899,0.73123,0.17145,0.26652,0.68742,0.17163911213477454,0.27039847028255465,0.7064075652035583,0.1038,0.2126,0.6549
43,0.12622,0.21945,0.74211,0.17142,0.27042,0.67642,0.1689125210227024,0.26144591796398164,0.7057494182555746,0.0991,0.1846,0.6734
44,0.12455,0.22211,0.73899,0.16892,0.26652,0.69572,0.16766339504430372,0.2642450444698334,0.694332650555777,0.1012,0.1804,0.6693
45,0.12211,0.21856,0.74123,0.16892,0.26142,0.69432,0.1651068428751602,0.26385567378997804,0.6907038033593581,0.0951,0.1831,0.6701
46,0.12544,0.22411,0.73544,0.16772,0.26422,0.69072,0.16462350264191628,0.26562433302402494,0.7361909347075205,0.0954,0.1977,0.6711
47,0.11966,0.21523,0.72567,0.16773,0.26392,0.68622,0.16260996424863416,0.2629386855363846,0.7405346388403826,0.099,0.2084,0.6651
48,0.11822,0.21145,0.73899,0.16513,0.26292,0.69052,0.16207858414379178,0.25554519760608674,0.7279496671339782,0.0987,0.1891,0.6712
49,0.11655,0.21456,0.76211,0.16462,0.25552,0.70792,0.15951728323093986,0.2585083295106888,0.7320483540412991,0.0957,0.1898,0.6631
50,0.11422,0.20988,0.76712,0.16212,0.25852,0.70202,0.15943334023317984,0.2602812349796295,0.7449991789861695,0.0913,0.1822,0.6725
,,,,,,
